,GEO_ID,County,State,FIPS,Population,SDOH Score,RUCC,IRR,SVI,Premature Mortality,Infant Mortality,Preventable Hospital Stays,Heart Disease Mortality,Poor or Fair Health
1112,0500000US42121,Venango,PA,42121,49777.0,33.27974687040826,4,0.4830740748276552,0.3656,494.48980345,8.91000891,3290.0,415.6,0.165
1158,0500000US42127,Wayne,PA,42127,51173.0,33.29177254165489,6,0.495348923867657,0.3952,407.34229194,,2942.0,380.4,0.163
1091,0500000US39157,Tuscarawas,OH,39157,91937.0,33.29930780989903,4,0.4530990768495386,0.4216,463.67255513,6.0148451497,2521.0,378.7,0.171
378,0500000US56013,Fremont,WY,56013,39472.0,33.31169259577212,7,0.5717922336597403,0.7642,667.36378724,,2165.0,357.5,0.158
777,0500000US17135,Montgomery,IL,17135,28020.0,33.39686401439322,6,0.5118894786053659,0.3191,475.40245622,9.8619329389,3071.0,350.1,0.163
692,0500000US17121,Marion,IL,17121,36914.0,33.497295828782754,7,0.4973824400233827,0.6036,560.81007556,6.628502561,4295.0,403.4,0.17
740,0500000US26109,Menominee,MI,26109,23266.0,33.534948283883416,7,0.5409721358653945,0.1553,366.85913433,,2098.0,457.3,0.155
976,0500000US55113,Sawyer,WI,55113,18559.0,33.60141493497167,9,0.5598456613409709,0.3758,461.44431833,,1473.0,295.0,0.148
978,0500000US42107,Schuylkill,PA,42107,143104.0,33.653475510353786,4,0.4391106383371702,0.4928,495.73144028,7.4898116533,3190.0,487.3,0.173
917,0500000US47141,Putnam,TN,47141,82382.0,33.760607384416794,4,0.4634796920643427,0.5536,509.81898498,6.4432989691,3608.0,386.4,0.191
440,0500000US13137,Habersham,GA,13137,47475.0,33.78070595917233,6,0.4805956004399233,0.728,447.82977677,6.155567991,2749.0,346.1,0.183
144,0500000US49007,Carbon,UT,49007,20571.0,33.79780477769677,7,0.5525230994451202,0.6297,499.74543292,,1858.0,407.2,0.164
1037,0500000US29209,Stone,MO,29209,32136.0,33.85744738364014,6,0.5120303852443069,0.4337,490.29346131,,2247.0,410.0,0.185
5,0500000US16003,Adams,ID,16003,4817.0,33.871762602360846,9,0.632306154343011,0.2017,345.95211032,,1260.0,214.4,0.157
151,0500000US51035,Carroll,VA,51035,29147.0,33.871845553708326,6,0.5125842435804836,0.2797,457.49144148,,2623.0,305.1,0.182
676,0500000US29121,Macon,MO,29121,15049.0,33.9456292999481,7,0.5475672426885124,0.3388,438.84833374,,3001.0,417.0,0.179
980,0500000US29199,Scotland,MO,29199,4643.0,34.035260348595955,9,0.5945748208693826,0.3169,466.4404106,,3174.0,342.9,0.206
371,0500000US23007,Franklin,ME,23007,30474.0,34.04444219179532,8,0.5439118969522216,0.4569,381.57996078,,1666.0,307.7,0.133
332,0500000US17047,Edwards,IL,17047,6071.0,34.143731813801764,9,0.5550967231059796,0.3058,524.73549237,,2299.0,399.0,0.156
201,0500000US55019,Clark,WI,55019,34691.0,34.17775527815734,8,0.5245892204586657,0.6347,370.61180388,5.2277819268,3965.0,322.7,0.164
43,0500000US55003,Ashland,WI,55003,16039.0,34.199504615652614,7,0.5558104377614405,0.4852,475.02277509,,1127.0,382.6,0.155
780,0500000US21173,Montgomery,KY,21173,28367.0,34.209952555537484,6,0.4950200299664243,0.5896,606.99690207,9.0684253916,2976.0,535.6,0.224
386,0500000US49017,Garfield,UT,49017,5281.0,34.24090679506438,9,0.6589236587934003,0.3423,326.87590696,,2195.0,253.1,0.146
954,0500000US39141,Ross,OH,39141,76606.0,34.306240647745604,4,0.477709457072845,0.5931,564.6680734,6.7861492953,946.0,420.2,0.183
846,0500000US23017,Oxford,ME,23017,59495.0,34.34759812602403,6,0.5157539790917116,0.3452,401.82936412,,1710.0,287.8,0.143
473,0500000US21101,Henderson,KY,21101,44046.0,34.3684066444164,4,0.4760633078221861,0.6386,519.80710768,8.8805166846,3826.0,394.0,0.211
493,0500000US48223,Hopkins,TX,48223,37804.0,34.37140227168311,6,0.5168421620311013,0.7525,498.25516174,,3213.0,446.5,0.19
